fips,exp_police_pc,officers_pc,rev_prop_tax_pc,violent.crime.high,segregation.bw.high,segregation.lw.high
40079,110.83,16.68,85.85,FALSE,TRUE,TRUE
40081,141.67,18.37,77.58,FALSE,FALSE,TRUE
40083,119.08,29.52,77.55,TRUE,FALSE,TRUE
40087,182.77,29.55,730.08,FALSE,FALSE,TRUE
40109,302.39,11.41,242,FALSE,FALSE,TRUE
40113,41.23,30.05,71.04,FALSE,TRUE,TRUE
40135,123.12,24.67,60.33,TRUE,TRUE,TRUE
40143,240.47,16.73,311.53,FALSE,TRUE,TRUE
40145,85.85,17.94,62.27,TRUE,TRUE,TRUE
41053,165.29,21.66,263.25,FALSE,FALSE,TRUE
42011,219.95,4.11,525.51,FALSE,FALSE,TRUE
42013,107.35,7.12,296.68,FALSE,FALSE,FALSE
42017,278.64,3.35,513.12,FALSE,TRUE,TRUE
42049,130.43,8.1,463.35,FALSE,TRUE,TRUE
42069,164.84,6.01,451.05,FALSE,FALSE,TRUE
42075,120.78,7.12,291.44,FALSE,FALSE,TRUE
42091,239.61,3.27,451.88,FALSE,TRUE,TRUE
42101,434.14,424.63,356.28,TRUE,TRUE,TRUE
42131,116.34,13.58,396.54,FALSE,FALSE,TRUE
44001,186.86,62.3,2523.54,TRUE,TRUE,TRUE
44003,257.44,38.21,2588.59,FALSE,TRUE,TRUE
44005,383.66,42.31,2903.9,TRUE,TRUE,TRUE
44007,323.11,13.66,2046.21,FALSE,TRUE,TRUE
44009,252.96,22.11,2819.55,FALSE,TRUE,TRUE
45015,148.56,23.47,244.76,TRUE,FALSE,FALSE
45031,170.84,36.7,341.89,TRUE,FALSE,FALSE
45041,199.52,28.78,270.93,TRUE,FALSE,FALSE
45045,165.91,19.6,351.25,FALSE,FALSE,FALSE
45055,124.35,39.63,283.12,TRUE,FALSE,FALSE
45063,201.72,13.3,414.83,FALSE,FALSE,FALSE
45079,200.26,50.33,522.92,TRUE,FALSE,FALSE
45083,161.41,12.88,408.31,FALSE,FALSE,FALSE
45091,175.53,22.57,463.96,TRUE,TRUE,TRUE
46083,60.19,14.31,293.18,FALSE,FALSE,FALSE
46093,157.69,37.79,510.58,FALSE,FALSE,FALSE
47001,271.49,38.39,821.42,FALSE,TRUE,FALSE
47011,182.69,94.63,539.55,TRUE,FALSE,FALSE
47019,131.03,49.22,444.71,TRUE,FALSE,FALSE
47021,140.97,34.74,600.79,TRUE,TRUE,TRUE
47037,331.96,31.81,1314.7,TRUE,TRUE,TRUE
47043,195.95,45.16,705.33,TRUE,TRUE,TRUE
47047,139.38,30.33,466.63,FALSE,TRUE,TRUE
47063,172.69,91.77,604.04,TRUE,FALSE,TRUE
47073,100.25,26.16,558.9,TRUE,FALSE,FALSE
47089,132.76,31.41,597.75,FALSE,FALSE,TRUE
47093,231.02,65.68,884.9,TRUE,TRUE,FALSE
47113,321.05,137.58,938.33,TRUE,FALSE,FALSE
47125,190.2,94.71,735.16,TRUE,FALSE,FALSE
47147,233.38,26.26,702.39,TRUE,TRUE,TRUE
47149,224.66,36.55,723.19,TRUE,TRUE,TRUE
47157,485.7,27.01,1372.91,TRUE,TRUE,TRUE
47163,203.55,44.46,888.57,TRUE,FALSE,FALSE
47165,189.93,22.14,702.64,FALSE,TRUE,TRUE
47167,168.92,40.88,503.97,TRUE,TRUE,TRUE
47179,202.54,53.55,783.98,TRUE,FALSE,FALSE
47187,154.82,29.66,1063.57,FALSE,TRUE,TRUE
47189,200.08,63.29,649.92,TRUE,TRUE,TRUE
48013,138.76,26.37,395.4,FALSE,FALSE,TRUE
48021,178.41,36.4,470.11,TRUE,FALSE,TRUE
48029,237.61,6.71,606.09,FALSE,FALSE,TRUE
48039,187.33,7.46,555.08,FALSE,TRUE,TRUE
48041,189.63,46.33,530.52,TRUE,FALSE,FALSE
48055,148.44,43.92,424.75,TRUE,FALSE,TRUE
48061,187.59,8.96,338.47,FALSE,FALSE,TRUE
48091,252.99,43.47,490.68,TRUE,FALSE,TRUE
48099,127.63,39.62,270.78,TRUE,FALSE,FALSE
48135,173.13,43.25,419.51,TRUE,FALSE,FALSE
48139,186.92,17.15,647.28,FALSE,TRUE,TRUE
48141,214.34,17.46,520.55,FALSE,FALSE,TRUE
48167,294.2,17.38,802.98,FALSE,TRUE,TRUE
48183,242.82,52.56,498.1,TRUE,FALSE,FALSE
48187,155.88,27.56,412.46,FALSE,FALSE,TRUE
48199,174.97,25.53,294.86,FALSE,TRUE,TRUE
48209,195.53,36.62,444.11,FALSE,FALSE,TRUE
48231,186.49,22.91,434.24,FALSE,TRUE,TRUE
48251,195.81,19.04,587.5,FALSE,TRUE,TRUE
48259,235,91,621.47,TRUE,FALSE,TRUE
48309,261.84,17.29,532.64,FALSE,TRUE,TRUE
48325,129.53,31.82,348.47,FALSE,FALSE,TRUE
48329,193.4,48.78,423.78,TRUE,FALSE,TRUE
48339,150.86,9.39,385.9,FALSE,TRUE,TRUE
48355,271.59,22.73,584.57,TRUE,FALSE,TRUE
48361,262.01,27.68,470.18,FALSE,TRUE,TRUE
48375,394.33,93.2,649.24,TRUE,TRUE,TRUE
48397,209.8,38.92,643.29,FALSE,TRUE,TRUE
48441,256.91,42.15,531.27,TRUE,FALSE,FALSE
48451,189.71,61.07,496.28,TRUE,FALSE,FALSE
48469,313.61,110.45,514.79,TRUE,FALSE,FALSE
48473,152.86,37.14,456.54,FALSE,TRUE,TRUE
48485,233.75,34.15,551.23,TRUE,FALSE,FALSE
48491,163.24,10.64,579.59,FALSE,FALSE,TRUE
48493,73.87,22.39,267.15,FALSE,FALSE,TRUE
48497,156.66,37.85,741.53,FALSE,TRUE,TRUE
49043,372.39,65.8,1004.94,TRUE,FALSE,TRUE
49045,201.4,25.98,201.12,TRUE,FALSE,TRUE
51003,181.15,82.94,1496.78,TRUE,FALSE,FALSE
51009,177.43,67.19,711.12,TRUE,FALSE,FALSE
51013,290.35,126.05,3273.11,TRUE,TRUE,TRUE
51019,94.11,100.09,752.98,TRUE,FALSE,FALSE
